True Label,Pred Label,Count,True Family,Pred Family,Different Family
143.Caspian_Tern,146.Forsters_Tern,3,tern,tern,0
138.Tree_Swallow,135.Bank_Swallow,3,swallow,swallow,0
135.Bank_Swallow,078.Gray_Kingbird,3,swallow,kingbird,1
130.Tree_Sparrow,118.House_Sparrow,3,sparrow,sparrow,0
130.Tree_Sparrow,116.Chipping_Sparrow,3,sparrow,sparrow,0
126.Nelson_Sharp_tailed_Sparrow,124.Le_Conte_Sparrow,3,sparrow,sparrow,0
125.Lincoln_Sparrow,123.Henslow_Sparrow,3,sparrow,sparrow,0
121.Grasshopper_Sparrow,131.Vesper_Sparrow,3,sparrow,sparrow,0
119.Field_Sparrow,116.Chipping_Sparrow,3,sparrow,sparrow,0
118.House_Sparrow,130.Tree_Sparrow,3,sparrow,sparrow,0
039.Least_Flycatcher,103.Sayornis,3,flycatcher,sayornis,1
116.Chipping_Sparrow,115.Brewer_Sparrow,3,sparrow,sparrow,0
112.Great_Grey_Shrike,111.Loggerhead_Shrike,3,shrike,shrike,0
104.American_Pipit,150.Sage_Thrasher,3,pipit,thrasher,1
027.Shiny_Cowbird,049.Boat_tailed_Grackle,3,cowbird,grackle,1
102.Western_Wood_Pewee,039.Least_Flycatcher,3,pewee,flycatcher,1
102.Western_Wood_Pewee,037.Acadian_Flycatcher,3,pewee,flycatcher,1
080.Green_Kingfisher,081.Pied_Kingfisher,3,kingfisher,kingfisher,0
068.Ruby_throated_Hummingbird,067.Anna_Hummingbird,3,hummingbird,hummingbird,0
067.Anna_Hummingbird,069.Rufous_Hummingbird,3,hummingbird,hummingbird,0
066.Western_Gull,059.California_Gull,3,gull,gull,0
030.Fish_Crow,107.Common_Raven,3,crow,raven,1
059.California_Gull,060.Glaucous_winged_Gull,3,gull,gull,0
054.Blue_Grosbeak,014.Indigo_Bunting,3,grosbeak,bunting,1
009.Brewer_Blackbird,027.Shiny_Cowbird,3,blackbird,cowbird,1
009.Brewer_Blackbird,011.Rusty_Blackbird,2,blackbird,blackbird,0
001.Black_footed_Albatross,002.Laysan_Albatross,2,albatross,albatross,0
171.Myrtle_Warbler,174.Palm_Warbler,2,warbler,warbler,0
183.Northern_Waterthrush,184.Louisiana_Waterthrush,2,waterthrush,waterthrush,0
196.House_Wren,193.Bewick_Wren,2,wren,wren,0
166.Golden_winged_Warbler,161.Blue_winged_Warbler,2,warbler,warbler,0
167.Hooded_Warbler,180.Wilson_Warbler,2,warbler,warbler,0
153.Philadelphia_Vireo,181.Worm_eating_Warbler,2,vireo,warbler,1
144.Common_Tern,143.Caspian_Tern,2,tern,tern,0
144.Common_Tern,145.Elegant_Tern,2,tern,tern,0
144.Common_Tern,147.Least_Tern,2,tern,tern,0
145.Elegant_Tern,146.Forsters_Tern,2,tern,tern,0
145.Elegant_Tern,147.Least_Tern,2,tern,tern,0
142.Black_Tern,071.Long_tailed_Jaeger,2,tern,jaeger,1
142.Black_Tern,145.Elegant_Tern,2,tern,tern,0
131.Vesper_Sparrow,116.Chipping_Sparrow,2,sparrow,sparrow,0
124.Le_Conte_Sparrow,123.Henslow_Sparrow,2,sparrow,sparrow,0
125.Lincoln_Sparrow,129.Song_Sparrow,2,sparrow,sparrow,0
126.Nelson_Sharp_tailed_Sparrow,128.Seaside_Sparrow,2,sparrow,sparrow,0
032.Mangrove_Cuckoo,071.Long_tailed_Jaeger,2,cuckoo,jaeger,1
033.Yellow_billed_Cuckoo,032.Mangrove_Cuckoo,2,cuckoo,cuckoo,0
045.Northern_Fulmar,002.Laysan_Albatross,2,fulmar,albatross,1
049.Boat_tailed_Grackle,009.Brewer_Blackbird,2,grackle,blackbird,1
119.Field_Sparrow,117.Clay_colored_Sparrow,2,sparrow,sparrow,0
119.Field_Sparrow,129.Song_Sparrow,2,sparrow,sparrow,0
121.Grasshopper_Sparrow,113.Baird_Sparrow,2,sparrow,sparrow,0
121.Grasshopper_Sparrow,115.Brewer_Sparrow,2,sparrow,sparrow,0
118.House_Sparrow,115.Brewer_Sparrow,2,sparrow,sparrow,0
115.Brewer_Sparrow,117.Clay_colored_Sparrow,2,sparrow,sparrow,0
039.Least_Flycatcher,043.Yellow_bellied_Flycatcher,2,flycatcher,flycatcher,0
040.Olive_sided_Flycatcher,039.Least_Flycatcher,2,flycatcher,flycatcher,0
103.Sayornis,160.Black_throated_Blue_Warbler,2,sayornis,warbler,1
107.Common_Raven,030.Fish_Crow,2,raven,crow,1
027.Shiny_Cowbird,009.Brewer_Blackbird,2,cowbird,blackbird,1
096.Hooded_Oriole,098.Scott_Oriole,2,oriole,oriole,0
097.Orchard_Oriole,095.Baltimore_Oriole,2,oriole,oriole,0
068.Ruby_throated_Hummingbird,070.Green_Violetear,2,hummingbird,violetear,1
069.Rufous_Hummingbird,068.Ruby_throated_Hummingbird,2,hummingbird,hummingbird,0
030.Fish_Crow,049.Boat_tailed_Grackle,2,crow,grackle,1
097.Orchard_Oriole,161.Blue_winged_Warbler,2,oriole,warbler,1
089.Hooded_Merganser,090.Red_breasted_Merganser,2,merganser,merganser,0
091.Mockingbird,078.Gray_Kingbird,2,mockingbird,kingbird,1
071.Long_tailed_Jaeger,045.Northern_Fulmar,2,jaeger,fulmar,1
080.Green_Kingfisher,082.Ringed_Kingfisher,2,kingfisher,kingfisher,0
082.Ringed_Kingfisher,080.Green_Kingfisher,2,kingfisher,kingfisher,0
062.Herring_Gull,060.Glaucous_winged_Gull,2,gull,gull,0
064.Ring_billed_Gull,060.Glaucous_winged_Gull,2,gull,gull,0
064.Ring_billed_Gull,062.Herring_Gull,2,gull,gull,0
065.Slaty_backed_Gull,045.Northern_Fulmar,2,gull,fulmar,1
179.Tennessee_Warbler,153.Philadelphia_Vireo,2,warbler,vireo,1
196.House_Wren,199.Winter_Wren,2,wren,wren,0
197.Marsh_Wren,195.Carolina_Wren,2,wren,wren,0
009.Brewer_Blackbird,049.Boat_tailed_Grackle,2,blackbird,grackle,1
005.Crested_Auklet,008.Rhinoceros_Auklet,2,auklet,auklet,0
001.Black_footed_Albatross,003.Sooty_Albatross,1,albatross,albatross,0
002.Laysan_Albatross,003.Sooty_Albatross,1,albatross,albatross,0
002.Laysan_Albatross,066.Western_Gull,1,albatross,gull,1
002.Laysan_Albatross,143.Caspian_Tern,1,albatross,tern,1
003.Sooty_Albatross,001.Black_footed_Albatross,1,albatross,albatross,0
004.Groove_billed_Ani,108.White_necked_Raven,1,ani,raven,1
170.Mourning_Warbler,173.Orange_crowned_Warbler,1,warbler,warbler,0
171.Myrtle_Warbler,168.Kentucky_Warbler,1,warbler,warbler,0
172.Nashville_Warbler,109.American_Redstart,1,warbler,redstart,1
172.Nashville_Warbler,153.Philadelphia_Vireo,1,warbler,vireo,1
172.Nashville_Warbler,170.Mourning_Warbler,1,warbler,warbler,0
182.Yellow_Warbler,173.Orange_crowned_Warbler,1,warbler,warbler,0
182.Yellow_Warbler,180.Wilson_Warbler,1,warbler,warbler,0
185.Bohemian_Waxwing,186.Cedar_Waxwing,1,waxwing,waxwing,0
049.Boat_tailed_Grackle,030.Fish_Crow,1,grackle,crow,1
049.Boat_tailed_Grackle,134.Cape_Glossy_Starling,1,grackle,starling,1
050.Eared_Grebe,052.Pied_billed_Grebe,1,grebe,grebe,0
051.Horned_Grebe,050.Eared_Grebe,1,grebe,grebe,0
051.Horned_Grebe,052.Pied_billed_Grebe,1,grebe,grebe,0
056.Pine_Grosbeak,035.Purple_Finch,1,grosbeak,finch,1
195.Carolina_Wren,196.House_Wren,1,wren,wren,0
196.House_Wren,119.Field_Sparrow,1,wren,sparrow,1
082.Ringed_Kingfisher,079.Belted_Kingfisher,1,kingfisher,kingfisher,0
082.Ringed_Kingfisher,081.Pied_Kingfisher,1,kingfisher,kingfisher,0
083.White_breasted_Kingfisher,081.Pied_Kingfisher,1,kingfisher,kingfisher,0
084.Red_legged_Kittiwake,045.Northern_Fulmar,1,kittiwake,fulmar,1
084.Red_legged_Kittiwake,066.Western_Gull,1,kittiwake,gull,1
037.Acadian_Flycatcher,157.Yellow_throated_Vireo,1,flycatcher,vireo,1
063.Ivory_Gull,059.California_Gull,1,gull,gull,0
063.Ivory_Gull,142.Black_Tern,1,gull,tern,1
064.Ring_billed_Gull,063.Ivory_Gull,1,gull,gull,0
064.Ring_billed_Gull,084.Red_legged_Kittiwake,1,gull,kittiwake,1
064.Ring_billed_Gull,110.Geococcyx,1,gull,geococcyx,1
178.Swainson_Warbler,195.Carolina_Wren,1,warbler,wren,1
179.Tennessee_Warbler,019.Gray_Catbird,1,warbler,catbird,1
179.Tennessee_Warbler,043.Yellow_bellied_Flycatcher,1,warbler,flycatcher,1
179.Tennessee_Warbler,154.Red_eyed_Vireo,1,warbler,vireo,1
179.Tennessee_Warbler,165.Chestnut_sided_Warbler,1,warbler,warbler,0
088.Western_Meadowlark,131.Vesper_Sparrow,1,meadowlark,sparrow,1
089.Hooded_Merganser,046.Gadwall,1,merganser,gadwall,1
091.Mockingbird,061.Heermann_Gull,1,mockingbird,gull,1
091.Mockingbird,073.Blue_Jay,1,mockingbird,jay,1
091.Mockingbird,092.Nighthawk,1,mockingbird,nighthawk,1
091.Mockingbird,112.Great_Grey_Shrike,1,mockingbird,shrike,1
091.Mockingbird,115.Brewer_Sparrow,1,mockingbird,sparrow,1
091.Mockingbird,164.Cerulean_Warbler,1,mockingbird,warbler,1
069.Rufous_Hummingbird,070.Green_Violetear,1,hummingbird,violetear,1
071.Long_tailed_Jaeger,066.Western_Gull,1,jaeger,gull,1
072.Pomarine_Jaeger,003.Sooty_Albatross,1,jaeger,albatross,1
072.Pomarine_Jaeger,066.Western_Gull,1,jaeger,gull,1
073.Blue_Jay,074.Florida_Jay,1,jay,jay,0
079.Belted_Kingfisher,082.Ringed_Kingfisher,1,kingfisher,kingfisher,0
080.Green_Kingfisher,079.Belted_Kingfisher,1,kingfisher,kingfisher,0
081.Pied_Kingfisher,079.Belted_Kingfisher,1,kingfisher,kingfisher,0
060.Glaucous_winged_Gull,084.Red_legged_Kittiwake,1,gull,kittiwake,1
062.Herring_Gull,045.Northern_Fulmar,1,gull,fulmar,1
030.Fish_Crow,026.Bronzed_Cowbird,1,crow,cowbird,1
031.Black_billed_Cuckoo,178.Swainson_Warbler,1,cuckoo,warbler,1
032.Mangrove_Cuckoo,033.Yellow_billed_Cuckoo,1,cuckoo,cuckoo,0
098.Scott_Oriole,096.Hooded_Oriole,1,oriole,oriole,0
098.Scott_Oriole,173.Orange_crowned_Warbler,1,oriole,warbler,1
099.Ovenbird,103.Sayornis,1,ovenbird,sayornis,1
099.Ovenbird,110.Geococcyx,1,ovenbird,geococcyx,1
099.Ovenbird,178.Swainson_Warbler,1,ovenbird,warbler,1
084.Red_legged_Kittiwake,146.Forsters_Tern,1,kittiwake,tern,1
085.Horned_Lark,115.Brewer_Sparrow,1,lark,sparrow,1
086.Pacific_Loon,008.Rhinoceros_Auklet,1,loon,auklet,1
086.Pacific_Loon,072.Pomarine_Jaeger,1,loon,jaeger,1
087.Mallard,046.Gadwall,1,mallard,gadwall,1
087.Mallard,089.Hooded_Merganser,1,mallard,merganser,1
095.Baltimore_Oriole,096.Hooded_Oriole,1,oriole,oriole,0
095.Baltimore_Oriole,098.Scott_Oriole,1,oriole,oriole,0
095.Baltimore_Oriole,175.Pine_Warbler,1,oriole,warbler,1
096.Hooded_Oriole,095.Baltimore_Oriole,1,oriole,oriole,0
096.Hooded_Oriole,161.Blue_winged_Warbler,1,oriole,warbler,1
096.Hooded_Oriole,175.Pine_Warbler,1,oriole,warbler,1
097.Orchard_Oriole,096.Hooded_Oriole,1,oriole,oriole,0
097.Orchard_Oriole,105.Whip_poor_Will,1,oriole,will,1
065.Slaty_backed_Gull,059.California_Gull,1,gull,gull,0
066.Western_Gull,065.Slaty_backed_Gull,1,gull,gull,0
067.Anna_Hummingbird,070.Green_Violetear,1,hummingbird,violetear,1
069.Rufous_Hummingbird,067.Anna_Hummingbird,1,hummingbird,hummingbird,0
057.Rose_breasted_Grosbeak,139.Scarlet_Tanager,1,grosbeak,tanager,1
058.Pigeon_Guillemot,008.Rhinoceros_Auklet,1,guillemot,auklet,1
059.California_Gull,065.Slaty_backed_Gull,1,gull,gull,0
060.Glaucous_winged_Gull,045.Northern_Fulmar,1,gull,fulmar,1
113.Baird_Sparrow,131.Vesper_Sparrow,1,sparrow,sparrow,0
025.Pelagic_Cormorant,087.Mallard,1,cormorant,mallard,1
026.Bronzed_Cowbird,009.Brewer_Blackbird,1,cowbird,blackbird,1
026.Bronzed_Cowbird,011.Rusty_Blackbird,1,cowbird,blackbird,1
027.Shiny_Cowbird,104.American_Pipit,1,cowbird,pipit,1
027.Shiny_Cowbird,114.Black_throated_Sparrow,1,cowbird,sparrow,1
027.Shiny_Cowbird,173.Orange_crowned_Warbler,1,cowbird,warbler,1
027.Shiny_Cowbird,196.House_Wren,1,cowbird,wren,1
029.American_Crow,009.Brewer_Blackbird,1,crow,blackbird,1
029.American_Crow,027.Shiny_Cowbird,1,crow,cowbird,1
030.Fish_Crow,009.Brewer_Blackbird,1,crow,blackbird,1
102.Western_Wood_Pewee,103.Sayornis,1,pewee,sayornis,1
102.Western_Wood_Pewee,135.Bank_Swallow,1,pewee,swallow,1
102.Western_Wood_Pewee,198.Rock_Wren,1,pewee,wren,1
103.Sayornis,027.Shiny_Cowbird,1,sayornis,cowbird,1
103.Sayornis,037.Acadian_Flycatcher,1,sayornis,flycatcher,1
040.Olive_sided_Flycatcher,102.Western_Wood_Pewee,1,flycatcher,pewee,1
040.Olive_sided_Flycatcher,103.Sayornis,1,flycatcher,sayornis,1
040.Olive_sided_Flycatcher,147.Least_Tern,1,flycatcher,tern,1
103.Sayornis,078.Gray_Kingbird,1,sayornis,kingbird,1
104.American_Pipit,116.Chipping_Sparrow,1,pipit,sparrow,1
104.American_Pipit,131.Vesper_Sparrow,1,pipit,sparrow,1
107.Common_Raven,108.White_necked_Raven,1,raven,raven,0
108.White_necked_Raven,027.Shiny_Cowbird,1,raven,cowbird,1
108.White_necked_Raven,030.Fish_Crow,1,raven,crow,1
108.White_necked_Raven,100.Brown_Pelican,1,raven,pelican,1
108.White_necked_Raven,107.Common_Raven,1,raven,raven,0
109.American_Redstart,152.Blue_headed_Vireo,1,redstart,vireo,1
109.American_Redstart,153.Philadelphia_Vireo,1,redstart,vireo,1
111.Loggerhead_Shrike,078.Gray_Kingbird,1,shrike,kingbird,1
111.Loggerhead_Shrike,085.Horned_Lark,1,shrike,lark,1
113.Baird_Sparrow,123.Henslow_Sparrow,1,sparrow,sparrow,0
117.Clay_colored_Sparrow,119.Field_Sparrow,1,sparrow,sparrow,0
117.Clay_colored_Sparrow,121.Grasshopper_Sparrow,1,sparrow,sparrow,0
117.Clay_colored_Sparrow,131.Vesper_Sparrow,1,sparrow,sparrow,0
118.House_Sparrow,116.Chipping_Sparrow,1,sparrow,sparrow,0
118.House_Sparrow,119.Field_Sparrow,1,sparrow,sparrow,0
118.House_Sparrow,132.White_crowned_Sparrow,1,sparrow,sparrow,0
115.Brewer_Sparrow,127.Savannah_Sparrow,1,sparrow,sparrow,0
115.Brewer_Sparrow,129.Song_Sparrow,1,sparrow,sparrow,0
115.Brewer_Sparrow,131.Vesper_Sparrow,1,sparrow,sparrow,0
116.Chipping_Sparrow,015.Lazuli_Bunting,1,sparrow,bunting,1
116.Chipping_Sparrow,125.Lincoln_Sparrow,1,sparrow,sparrow,0
039.Least_Flycatcher,091.Mockingbird,1,flycatcher,mockingbird,1
039.Least_Flycatcher,102.Western_Wood_Pewee,1,flycatcher,pewee,1
039.Least_Flycatcher,157.Yellow_throated_Vireo,1,flycatcher,vireo,1
039.Least_Flycatcher,165.Chestnut_sided_Warbler,1,flycatcher,warbler,1
040.Olive_sided_Flycatcher,033.Yellow_billed_Cuckoo,1,flycatcher,cuckoo,1
120.Fox_Sparrow,149.Brown_Thrasher,1,sparrow,thrasher,1
121.Grasshopper_Sparrow,048.European_Goldfinch,1,sparrow,goldfinch,1
121.Grasshopper_Sparrow,119.Field_Sparrow,1,sparrow,sparrow,0
121.Grasshopper_Sparrow,122.Harris_Sparrow,1,sparrow,sparrow,0
121.Grasshopper_Sparrow,123.Henslow_Sparrow,1,sparrow,sparrow,0
123.Henslow_Sparrow,113.Baird_Sparrow,1,sparrow,sparrow,0
124.Le_Conte_Sparrow,121.Grasshopper_Sparrow,1,sparrow,sparrow,0
043.Yellow_bellied_Flycatcher,077.Tropical_Kingbird,1,flycatcher,kingbird,1
043.Yellow_bellied_Flycatcher,158.Bay_breasted_Warbler,1,flycatcher,warbler,1
043.Yellow_bellied_Flycatcher,161.Blue_winged_Warbler,1,flycatcher,warbler,1
043.Yellow_bellied_Flycatcher,167.Hooded_Warbler,1,flycatcher,warbler,1
043.Yellow_bellied_Flycatcher,169.Magnolia_Warbler,1,flycatcher,warbler,1
116.Chipping_Sparrow,131.Vesper_Sparrow,1,sparrow,sparrow,0
117.Clay_colored_Sparrow,113.Baird_Sparrow,1,sparrow,sparrow,0
117.Clay_colored_Sparrow,115.Brewer_Sparrow,1,sparrow,sparrow,0
117.Clay_colored_Sparrow,116.Chipping_Sparrow,1,sparrow,sparrow,0
044.Frigatebird,071.Long_tailed_Jaeger,1,frigatebird,jaeger,1
045.Northern_Fulmar,003.Sooty_Albatross,1,fulmar,albatross,1
045.Northern_Fulmar,071.Long_tailed_Jaeger,1,fulmar,jaeger,1
049.Boat_tailed_Grackle,011.Rusty_Blackbird,1,grackle,blackbird,1
049.Boat_tailed_Grackle,019.Gray_Catbird,1,grackle,catbird,1
127.Savannah_Sparrow,113.Baird_Sparrow,1,sparrow,sparrow,0
127.Savannah_Sparrow,124.Le_Conte_Sparrow,1,sparrow,sparrow,0
127.Savannah_Sparrow,129.Song_Sparrow,1,sparrow,sparrow,0
127.Savannah_Sparrow,131.Vesper_Sparrow,1,sparrow,sparrow,0
127.Savannah_Sparrow,149.Brown_Thrasher,1,sparrow,thrasher,1
128.Seaside_Sparrow,011.Rusty_Blackbird,1,sparrow,blackbird,1
119.Field_Sparrow,118.House_Sparrow,1,sparrow,sparrow,0
119.Field_Sparrow,130.Tree_Sparrow,1,sparrow,sparrow,0
120.Fox_Sparrow,018.Spotted_Catbird,1,sparrow,catbird,1
120.Fox_Sparrow,116.Chipping_Sparrow,1,sparrow,sparrow,0
120.Fox_Sparrow,129.Song_Sparrow,1,sparrow,sparrow,0
132.White_crowned_Sparrow,115.Brewer_Sparrow,1,sparrow,sparrow,0
133.White_throated_Sparrow,127.Savannah_Sparrow,1,sparrow,sparrow,0
124.Le_Conte_Sparrow,126.Nelson_Sharp_tailed_Sparrow,1,sparrow,sparrow,0
125.Lincoln_Sparrow,113.Baird_Sparrow,1,sparrow,sparrow,0
125.Lincoln_Sparrow,150.Sage_Thrasher,1,sparrow,thrasher,1
126.Nelson_Sharp_tailed_Sparrow,104.American_Pipit,1,sparrow,pipit,1
126.Nelson_Sharp_tailed_Sparrow,127.Savannah_Sparrow,1,sparrow,sparrow,0
126.Nelson_Sharp_tailed_Sparrow,150.Sage_Thrasher,1,sparrow,thrasher,1
126.Nelson_Sharp_tailed_Sparrow,181.Worm_eating_Warbler,1,sparrow,warbler,1
033.Yellow_billed_Cuckoo,010.Red_winged_Blackbird,1,cuckoo,blackbird,1
034.Gray_crowned_Rosy_Finch,056.Pine_Grosbeak,1,finch,grosbeak,1
034.Gray_crowned_Rosy_Finch,097.Orchard_Oriole,1,finch,oriole,1
035.Purple_Finch,140.Summer_Tanager,1,finch,tanager,1
180.Wilson_Warbler,047.American_Goldfinch,1,warbler,goldfinch,1
180.Wilson_Warbler,173.Orange_crowned_Warbler,1,warbler,warbler,0
181.Worm_eating_Warbler,099.Ovenbird,1,warbler,ovenbird,1
141.Artic_Tern,145.Elegant_Tern,1,tern,tern,0
142.Black_Tern,027.Shiny_Cowbird,1,tern,cowbird,1
142.Black_Tern,079.Belted_Kingfisher,1,tern,kingfisher,1
128.Seaside_Sparrow,118.House_Sparrow,1,sparrow,sparrow,0
128.Seaside_Sparrow,120.Fox_Sparrow,1,sparrow,sparrow,0
128.Seaside_Sparrow,125.Lincoln_Sparrow,1,sparrow,sparrow,0
128.Seaside_Sparrow,126.Nelson_Sharp_tailed_Sparrow,1,sparrow,sparrow,0
129.Song_Sparrow,119.Field_Sparrow,1,sparrow,sparrow,0
129.Song_Sparrow,120.Fox_Sparrow,1,sparrow,sparrow,0
129.Song_Sparrow,125.Lincoln_Sparrow,1,sparrow,sparrow,0
130.Tree_Sparrow,117.Clay_colored_Sparrow,1,sparrow,sparrow,0
130.Tree_Sparrow,119.Field_Sparrow,1,sparrow,sparrow,0
130.Tree_Sparrow,132.White_crowned_Sparrow,1,sparrow,sparrow,0
131.Vesper_Sparrow,113.Baird_Sparrow,1,sparrow,sparrow,0
131.Vesper_Sparrow,115.Brewer_Sparrow,1,sparrow,sparrow,0
131.Vesper_Sparrow,127.Savannah_Sparrow,1,sparrow,sparrow,0
150.Sage_Thrasher,091.Mockingbird,1,thrasher,mockingbird,1
152.Blue_headed_Vireo,151.Black_capped_Vireo,1,vireo,vireo,0
152.Blue_headed_Vireo,164.Cerulean_Warbler,1,vireo,warbler,1
152.Blue_headed_Vireo,172.Nashville_Warbler,1,vireo,warbler,1
153.Philadelphia_Vireo,152.Blue_headed_Vireo,1,vireo,vireo,0
134.Cape_Glossy_Starling,026.Bronzed_Cowbird,1,starling,cowbird,1
135.Bank_Swallow,011.Rusty_Blackbird,1,swallow,blackbird,1
135.Bank_Swallow,136.Barn_Swallow,1,swallow,swallow,0
135.Bank_Swallow,137.Cliff_Swallow,1,swallow,swallow,0
135.Bank_Swallow,151.Black_capped_Vireo,1,swallow,vireo,1
136.Barn_Swallow,012.Yellow_headed_Blackbird,1,swallow,blackbird,1
136.Barn_Swallow,097.Orchard_Oriole,1,swallow,oriole,1
137.Cliff_Swallow,135.Bank_Swallow,1,swallow,swallow,0
138.Tree_Swallow,094.White_breasted_Nuthatch,1,swallow,nuthatch,1
139.Scarlet_Tanager,140.Summer_Tanager,1,tanager,tanager,0
140.Summer_Tanager,139.Scarlet_Tanager,1,tanager,tanager,0
154.Red_eyed_Vireo,155.Warbling_Vireo,1,vireo,vireo,0
156.White_eyed_Vireo,153.Philadelphia_Vireo,1,vireo,vireo,0
157.Yellow_throated_Vireo,047.American_Goldfinch,1,vireo,goldfinch,1
157.Yellow_throated_Vireo,155.Warbling_Vireo,1,vireo,vireo,0
157.Yellow_throated_Vireo,156.White_eyed_Vireo,1,vireo,vireo,0
157.Yellow_throated_Vireo,158.Bay_breasted_Warbler,1,vireo,warbler,1
158.Bay_breasted_Warbler,157.Yellow_throated_Vireo,1,warbler,vireo,1
160.Black_throated_Blue_Warbler,164.Cerulean_Warbler,1,warbler,warbler,0
161.Blue_winged_Warbler,043.Yellow_bellied_Flycatcher,1,warbler,flycatcher,1
162.Canada_Warbler,152.Blue_headed_Vireo,1,warbler,vireo,1
142.Black_Tern,146.Forsters_Tern,1,tern,tern,0
142.Black_Tern,160.Black_throated_Blue_Warbler,1,tern,warbler,1
143.Caspian_Tern,141.Artic_Tern,1,tern,tern,0
143.Caspian_Tern,144.Common_Tern,1,tern,tern,0
146.Forsters_Tern,143.Caspian_Tern,1,tern,tern,0
148.Green_tailed_Towhee,173.Orange_crowned_Warbler,1,towhee,warbler,1
165.Chestnut_sided_Warbler,157.Yellow_throated_Vireo,1,warbler,vireo,1
165.Chestnut_sided_Warbler,179.Tennessee_Warbler,1,warbler,warbler,0
166.Golden_winged_Warbler,165.Chestnut_sided_Warbler,1,warbler,warbler,0
167.Hooded_Warbler,153.Philadelphia_Vireo,1,warbler,vireo,1
